fold,variant,macro_f1,accuracy,feature_count
1,H0_selective_EB,0.528516470887176,0.5439161966156325,8178
1,H0_non_EB,0.5363060943550256,0.547945205479452,8178
1,H0_EB,0.5175886234792622,0.5414987912973409,8178
1,equal_H0_non_EB,0.5334006127725567,0.5455278001611603,8178
1,equal_H0_EB,0.5225071177002466,0.5414987912973409,8178
2,H0_selective_EB,0.5518911944485894,0.5661290322580645,8221
2,H0_non_EB,0.5553139557036014,0.5645161290322581,8221
2,H0_EB,0.5464652399670417,0.5637096774193548,8221
2,equal_H0_non_EB,0.5569906791775306,0.5685483870967742,8221
2,equal_H0_EB,0.5500852960650885,0.5661290322580645,8221
3,H0_selective_EB,0.5434490629256266,0.5475806451612903,8187
3,H0_non_EB,0.5319122347730254,0.5419354838709678,8187
3,H0_EB,0.5417699979554113,0.5483870967741935,8187
3,equal_H0_non_EB,0.5335863496839482,0.5451612903225806,8187
3,equal_H0_EB,0.5447487853721907,0.5491935483870968,8187
4,H0_selective_EB,0.5547587960574124,0.5693548387096774,8267
4,H0_non_EB,0.5457953656186075,0.5596774193548387,8267
4,H0_EB,0.5572232617246509,0.5725806451612904,8267
4,equal_H0_non_EB,0.5512914317766301,0.5661290322580645,8267
4,equal_H0_EB,0.5570516572758865,0.5717741935483871,8267
5,H0_selective_EB,0.5584993408995549,0.567741935483871,8243
5,H0_non_EB,0.5492294864782734,0.5637096774193548,8243
5,H0_EB,0.557023611042091,0.5645161290322581,8243
5,equal_H0_non_EB,0.5616493968075766,0.5701612903225807,8243
5,equal_H0_EB,0.55997454678013,0.567741935483871,8243
