variant,class,support,precision,recall,f1
H0_selective_EB,ACC,72,0.967741935483871,0.8333333333333334,0.8955223880597015
H0_selective_EB,BLCA,104,0.573170731707317,0.4519230769230769,0.5053763440860215
H0_selective_EB,BRCA,786,0.5481852315394243,0.5572519083969466,0.5526813880126183
H0_selective_EB,CESC,155,0.4608695652173913,0.3419354838709677,0.3925925925925926
H0_selective_EB,COAD,223,0.780373831775701,0.7488789237668162,0.7643020594965675
H0_selective_EB,DLBC,38,0.7727272727272727,0.4473684210526316,0.5666666666666667
H0_selective_EB,GBMLGG,461,0.6370558375634517,0.544468546637744,0.5871345029239766
H0_selective_EB,HNSC,223,0.42408376963350786,0.3632286995515695,0.391304347826087
H0_selective_EB,KIPAN,515,0.6592427616926503,0.574757281553398,0.6141078838174274
H0_selective_EB,KIRC,334,0.6246913580246913,0.7574850299401198,0.6847090663058186
H0_selective_EB,LAML,158,0.6099290780141844,0.5443037974683544,0.5752508361204013
H0_selective_EB,LGG,229,0.6136363636363636,0.7074235807860262,0.6572008113590264
H0_selective_EB,LIHC,158,0.46153846153846156,0.45569620253164556,0.4585987261146497
H0_selective_EB,LUAD,184,0.5,0.30978260869565216,0.3825503355704698
H0_selective_EB,LUSC,178,0.5130434782608696,0.6629213483146067,0.5784313725490197
H0_selective_EB,OV,253,0.39634146341463417,0.5138339920948617,0.4475043029259897
H0_selective_EB,PAAD,120,0.4528301886792453,0.4,0.4247787610619469
H0_selective_EB,PCPG,147,0.3031674208144796,0.4557823129251701,0.3641304347826087
H0_selective_EB,PRAD,266,0.35260115606936415,0.45864661654135336,0.39869281045751637
H0_selective_EB,SARC,198,0.225130890052356,0.21717171717171718,0.2210796915167095
H0_selective_EB,SKCM,276,0.9623430962343096,0.8333333333333334,0.8932038834951457
H0_selective_EB,STES,379,0.5342789598108747,0.5963060686015831,0.5635910224438903
H0_selective_EB,TGCT,124,0.6796875,0.7016129032258065,0.6904761904761905
H0_selective_EB,THCA,324,0.8049792531120332,0.5987654320987654,0.6867256637168142
H0_selective_EB,THYM,98,0.2289156626506024,0.3877551020408163,0.2878787878787879
H0_selective_EB,UCEC,198,0.7068965517241379,0.6212121212121212,0.6612903225806451
H0_non_EB,ACC,72,0.9516129032258065,0.8194444444444444,0.8805970149253731
H0_non_EB,BLCA,104,0.625,0.38461538461538464,0.47619047619047616
H0_non_EB,BRCA,786,0.5361963190184049,0.5559796437659033,0.5459088069956277
H0_non_EB,CESC,155,0.44,0.3548387096774194,0.39285714285714285
H0_non_EB,COAD,223,0.7952380952380952,0.7488789237668162,0.7713625866050808
H0_non_EB,DLBC,38,0.7894736842105263,0.39473684210526316,0.5263157894736842
H0_non_EB,GBMLGG,461,0.6308900523560209,0.5227765726681128,0.571767497034401
H0_non_EB,HNSC,223,0.417910447761194,0.37668161434977576,0.39622641509433965
H0_non_EB,KIPAN,515,0.6313559322033898,0.5786407766990291,0.6038500506585613
H0_non_EB,KIRC,334,0.62,0.7425149700598802,0.6757493188010899
H0_non_EB,LAML,158,0.6086956521739131,0.5316455696202531,0.5675675675675675
H0_non_EB,LGG,229,0.5857142857142857,0.7161572052401747,0.6444007858546169
H0_non_EB,LIHC,158,0.5149253731343284,0.43670886075949367,0.4726027397260274
H0_non_EB,LUAD,184,0.5081967213114754,0.33695652173913043,0.40522875816993464
H0_non_EB,LUSC,178,0.5176991150442478,0.6573033707865169,0.5792079207920792
H0_non_EB,OV,253,0.3957703927492447,0.5177865612648221,0.4486301369863014
H0_non_EB,PAAD,120,0.4722222222222222,0.425,0.4473684210526316
H0_non_EB,PCPG,147,0.29596412556053814,0.4489795918367347,0.3567567567567568
H0_non_EB,PRAD,266,0.3469387755102041,0.4473684210526316,0.39080459770114945
H0_non_EB,SARC,198,0.2275132275132275,0.21717171717171718,0.2222222222222222
H0_non_EB,SKCM,276,0.9623430962343096,0.8333333333333334,0.8932038834951457
H0_non_EB,STES,379,0.5357142857142857,0.5936675461741425,0.5632040050062578
H0_non_EB,TGCT,124,0.7,0.6774193548387096,0.6885245901639344
H0_non_EB,THCA,324,0.8008130081300813,0.6080246913580247,0.6912280701754386
H0_non_EB,THYM,98,0.2422360248447205,0.3979591836734694,0.30115830115830117
H0_non_EB,UCEC,198,0.7017543859649122,0.6060606060606061,0.6504065040650406
H0_EB,ACC,72,0.96875,0.8611111111111112,0.9117647058823529
H0_EB,BLCA,104,0.573170731707317,0.4519230769230769,0.5053763440860215
H0_EB,BRCA,786,0.5417690417690417,0.5610687022900763,0.55125
H0_EB,CESC,155,0.44144144144144143,0.3161290322580645,0.3684210526315789
H0_EB,COAD,223,0.7731481481481481,0.7488789237668162,0.7608200455580866
H0_EB,DLBC,38,0.7727272727272727,0.4473684210526316,0.5666666666666667
H0_EB,GBMLGG,461,0.6397984886649875,0.5509761388286334,0.5920745920745921
H0_EB,HNSC,223,0.42021276595744683,0.3542600896860987,0.3844282238442822
H0_EB,KIPAN,515,0.6681715575620768,0.574757281553398,0.6179540709812108
H0_EB,KIRC,334,0.6289156626506024,0.781437125748503,0.6969292389853138
H0_EB,LAML,158,0.5874125874125874,0.5316455696202531,0.5581395348837209
H0_EB,LGG,229,0.6145038167938931,0.7030567685589519,0.6558044806517311
H0_EB,LIHC,158,0.45222929936305734,0.44936708860759494,0.4507936507936508
H0_EB,LUAD,184,0.5092592592592593,0.29891304347826086,0.3767123287671233
H0_EB,LUSC,178,0.5064935064935064,0.6573033707865169,0.5721271393643031
H0_EB,OV,253,0.39384615384615385,0.5059288537549407,0.4429065743944637
H0_EB,PAAD,120,0.4519230769230769,0.39166666666666666,0.41964285714285715
H0_EB,PCPG,147,0.29064039408866993,0.4013605442176871,0.33714285714285713
H0_EB,PRAD,266,0.3563218390804598,0.46616541353383456,0.40390879478827363
H0_EB,SARC,198,0.21808510638297873,0.20707070707070707,0.21243523316062177
H0_EB,SKCM,276,0.9623430962343096,0.8333333333333334,0.8932038834951457
H0_EB,STES,379,0.5264367816091954,0.604221635883905,0.5626535626535627
H0_EB,TGCT,124,0.6538461538461539,0.6854838709677419,0.6692913385826772
H0_EB,THCA,324,0.8032786885245902,0.6049382716049383,0.6901408450704225
H0_EB,THYM,98,0.2422360248447205,0.3979591836734694,0.30115830115830117
H0_EB,UCEC,198,0.7134502923976608,0.6161616161616161,0.6612466124661247
equal_H0_non_EB,ACC,72,0.967741935483871,0.8333333333333334,0.8955223880597015
equal_H0_non_EB,BLCA,104,0.5915492957746479,0.40384615384615385,0.48
equal_H0_non_EB,BRCA,786,0.5426452410383189,0.5585241730279898,0.5504702194357367
equal_H0_non_EB,CESC,155,0.452991452991453,0.3419354838709677,0.3897058823529412
equal_H0_non_EB,COAD,223,0.7850467289719626,0.7533632286995515,0.7688787185354691
equal_H0_non_EB,DLBC,38,0.8,0.42105263157894735,0.5517241379310345
equal_H0_non_EB,GBMLGG,461,0.638676844783715,0.544468546637744,0.5878220140515222
equal_H0_non_EB,HNSC,223,0.421875,0.3632286995515695,0.39036144578313253
equal_H0_non_EB,KIPAN,515,0.6507592190889371,0.5825242718446602,0.6147540983606558
equal_H0_non_EB,KIRC,334,0.6225,0.7455089820359282,0.6784741144414169
equal_H0_non_EB,LAML,158,0.6071428571428571,0.5379746835443038,0.5704697986577181
equal_H0_non_EB,LGG,229,0.6082089552238806,0.7117903930131004,0.6559356136820925
equal_H0_non_EB,LIHC,158,0.4930555555555556,0.44936708860759494,0.47019867549668876
equal_H0_non_EB,LUAD,184,0.5041322314049587,0.33152173913043476,0.4
equal_H0_non_EB,LUSC,178,0.5176991150442478,0.6573033707865169,0.5792079207920792
equal_H0_non_EB,OV,253,0.3951367781155015,0.5138339920948617,0.44673539518900346
equal_H0_non_EB,PAAD,120,0.4672897196261682,0.4166666666666667,0.44052863436123346
equal_H0_non_EB,PCPG,147,0.29515418502202645,0.4557823129251701,0.3582887700534759
equal_H0_non_EB,PRAD,266,0.3507246376811594,0.4548872180451128,0.3960720130932897
equal_H0_non_EB,SARC,198,0.22580645161290322,0.21212121212121213,0.21875
equal_H0_non_EB,SKCM,276,0.9623430962343096,0.8333333333333334,0.8932038834951457
