variant,oof_macro_f1,oof_accuracy,feature_count,convergence_warning_count,leakage_check,nan_as_mutation_count,delta_vs_h0
H0,0.5447438599818917,0.5555555555555556,8193.2,0,True,0,0.0
auto_validated_pair_specialist,0.5463846273901051,0.5563618771165941,8193.2,0,True,0,0.001640767408213395
