variant,oof_macro_f1,oof_accuracy,feature_count_mean,convergence_warning_count,leakage_check,nan_as_mutation_count,reference_oof_macro_f1,reference_delta
exp013_LR,0.5259096721951139,0.5295920012901145,8193.2,0,True,0,0.52613,-0.00022032780488612236
exp014_LGBM_hard_specialist,0.4930917701544163,0.5257216577971295,8193.2,0,True,0,0.492332,0.000759770154416306
H0_blend_80_20,0.5447438599818917,0.5555555555555556,8193.2,0,True,0,0.543679,0.0010648599818916527
