variant,oof_macro_f1,oof_accuracy,feature_count,convergence_warning_count,leakage_check,nan_as_mutation_count,delta_vs_h0
H0,0.5447438599818917,0.5555555555555556,8193.2,0,True,0,0.0
H1_auto_confusion_moe,0.5090847337899043,0.5124979841960974,8193.2,0,True,0,-0.03565912619198741
