variant,oof_macro_f1,reference_oof_macro_f1,reference_delta
exp013_LR,0.5259096721951139,0.52613,-0.00022032780488612236
exp014_LGBM_hard_specialist,0.4930917701544163,0.492332,0.000759770154416306
H0_blend_80_20,0.5447438599818917,0.543679,0.0010648599818916527
