seed,class,support,H0_f1,architecture_f1,delta
42,ACC,72,0.8805970149253731,0.8888888888888888,0.008291873963515717
42,BLCA,104,0.47619047619047616,0.46153846153846156,-0.0146520146520146
42,BRCA,786,0.5459088069956277,0.5502776064157927,0.004368799420164993
42,CESC,155,0.39285714285714285,0.41155234657039713,0.018695203713254283
42,COAD,223,0.7713625866050808,0.7621247113163973,-0.009237875288683584
42,DLBC,38,0.5263157894736842,0.49122807017543857,-0.03508771929824561
42,GBMLGG,461,0.571767497034401,0.5775656324582339,0.005798135423832895
42,HNSC,223,0.39622641509433965,0.3990498812351544,0.0028234661408147455
42,KIPAN,515,0.6038500506585613,0.5991820040899796,-0.004668046568581774
42,KIRC,334,0.6757493188010899,0.6748299319727891,-0.0009193868283008388
42,LAML,158,0.5675675675675675,0.5423728813559322,-0.025194686211635342
42,LGG,229,0.6444007858546169,0.6536964980544747,0.009295712199857808
42,LIHC,158,0.4726027397260274,0.47750865051903113,0.0049059107930037316
42,LUAD,184,0.40522875816993464,0.3935483870967742,-0.011680371073160445
42,LUSC,178,0.5792079207920792,0.5580246913580247,-0.021183229434054485
42,OV,253,0.4486301369863014,0.4370629370629371,-0.011567199923364302
42,PAAD,120,0.4473684210526316,0.45493562231759654,0.007567201264964962
42,PCPG,147,0.3567567567567568,0.3526315789473684,-0.0041251778093883695
42,PRAD,266,0.39080459770114945,0.37373737373737376,-0.01706722396377569
42,SARC,198,0.2222222222222222,0.2422680412371134,0.020045819014891192
42,SKCM,276,0.8932038834951457,0.8803088803088803,-0.012895003186265352
42,STES,379,0.5632040050062578,0.5656050955414013,0.0024010905351434797
42,TGCT,124,0.6885245901639344,0.6907630522088354,0.0022384620449009685
42,THCA,324,0.6912280701754386,0.6865148861646234,-0.004713184010815219
42,THYM,98,0.30115830115830117,0.3193916349809886,0.018233333822687436
42,UCEC,198,0.6504065040650406,0.6720430107526881,0.021636506687647494
777,ACC,72,0.9037037037037037,0.8823529411764706,-0.021350762527233114
777,BLCA,104,0.4588235294117647,0.44047619047619047,-0.01834733893557422
777,BRCA,786,0.5430711610486891,0.5362853628536285,-0.006785798195060644
777,CESC,155,0.41454545454545455,0.40714285714285714,-0.007402597402597411
777,COAD,223,0.7638888888888888,0.7464788732394366,-0.017410015649452215
777,DLBC,38,0.5,0.4444444444444444,-0.05555555555555558
777,GBMLGG,461,0.5660377358490566,0.5542452830188679,-0.011792452830188704
777,HNSC,223,0.40786240786240785,0.4,-0.007862407862407828
777,KIPAN,515,0.5915492957746479,0.5943204868154158,0.0027711910407679508
777,KIRC,334,0.6531713900134952,0.6549391069012178,0.0017677168877225924
777,LAML,158,0.5827814569536424,0.5676567656765676,-0.01512469127707472
777,LGG,229,0.6575342465753424,0.6407766990291263,-0.016757547546216167
777,LIHC,158,0.42567567567567566,0.46938775510204084,0.04371207942636518
777,LUAD,184,0.4115755627009646,0.4451219512195122,0.033546388518547576
777,LUSC,178,0.5843828715365239,0.5912596401028277,0.006876768566303815
777,OV,253,0.45774647887323944,0.455026455026455,-0.002720023846784436
777,PAAD,120,0.39330543933054396,0.37344398340248963,-0.019861455928054328
777,PCPG,147,0.35772357723577236,0.34444444444444444,-0.013279132791327919
777,PRAD,266,0.34941763727121466,0.3509933774834437,0.0015757402122290598
777,SARC,198,0.22105263157894736,0.2670157068062827,0.045963075227335365
777,SKCM,276,0.8875968992248062,0.8803088803088803,-0.007288018915925898
777,STES,379,0.5799256505576208,0.5886792452830188,0.00875359472539805
777,TGCT,124,0.6428571428571429,0.6639344262295082,0.021077283372365252
777,THCA,324,0.6912280701754386,0.6925795053003534,0.0013514351249147571
777,THYM,98,0.31020408163265306,0.3020408163265306,-0.008163265306122436
777,UCEC,198,0.6507936507936508,0.6788511749347258,0.028057524141074985
2024,ACC,72,0.8759124087591241,0.8805970149253731,0.004684606166248995
2024,BLCA,104,0.5116279069767442,0.47337278106508873,-0.038255125911655474
2024,BRCA,786,0.5504358655043586,0.5601996257018091,0.00976376019745051
2024,CESC,155,0.46037735849056605,0.4153846153846154,-0.04499274310595064
2024,COAD,223,0.7752293577981652,0.7757009345794392,0.00047157678127407454
2024,DLBC,38,0.45614035087719296,0.5084745762711864,0.05233422539399346
