alpha,inner_oof_macro_f1,fold
0.2,0.4792185052406286,1
0.1,0.4782099527531472,1
0.2,0.47762006992673156,2
0.1,0.47386488772221735,2
0.2,0.4750891337190887,3
0.1,0.4737033171063255,3
0.2,0.46920060755003584,4
0.1,0.4676719822840084,4
0.2,0.4806145608086315,5
0.1,0.4786132392511186,5
