variant,k,recall,oracle_macro_f1
H0,1,0.5452346395742622,0.5237165047556878
H0,2,0.6877922915658765,0.663703971290279
H0,3,0.7595549104983067,0.7403805864229898
H2_S,1,0.5484599258184164,0.5255605612732557
H2_S,2,0.6881148201902919,0.6642565188175217
H2_S,3,0.7581035316884374,0.7370390439543297
