variant,top1_recall,top2_recall,top3_recall
H0,0.5555555555555556,0.7031124012256088,0.7734236413481697
profile_retrieval,0.13143041444928238,0.1778745363651024,0.2675374939525883
blend,0.5442670537010159,0.7011772294791163,0.7731011127237543
