variant,oof_macro_f1,oof_accuracy,feature_count,convergence_warning_count,leakage_check,nan_as_mutation_count,runtime_seconds,delta_vs_h0,delta_vs_h0_reference
H0,0.5237165047556878,0.5452346395742622,8325.4,0,True,0,3600.774528026581,0.0,-0.01996249524431226
H2_S,0.5255605612732557,0.5484599258184164,19.0,0,True,0,3600.7983248233795,0.0018440565175679158,-0.018118438726744346
