outer_fold,selected,pair,inner_base_pair_f1,inner_specialist_pair_f1,pair_f1_delta,recovered,broken,inner_routed_rows
1,True,KIPAN|KIRC,0.5728824932895914,0.5910961282481625,0.01821363495857109,61,49,484
1,False,GBMLGG|LGG,0.5702636078418353,0.5562411255970053,-0.014022482244829937,41,44,372
1,False,BRCA|OV,0.5930950673360427,0.5936767051318135,0.0005816377957708063,13,17,172
1,False,BRCA|PRAD,0.5321609311740891,0.5379044300647088,0.005743498890619647,6,6,103
1,False,BRCA|KIPAN,0.662645138300777,0.662645138300777,0.0,7,7,63
1,False,BRCA|SARC,0.4710936362312509,0.48028953502637717,0.009195898795126278,4,4,95
1,False,PRAD|THCA,0.5722073961113229,0.5653877887788779,-0.006819607332445021,1,3,69
1,False,BRCA|PCPG,0.5662982820877558,0.5581173624769138,-0.008180919610841997,4,7,101
2,False,KIPAN|KIRC,0.5548022598870057,0.5552585112437434,0.00045625135673765804,35,36,490
2,False,GBMLGG|LGG,0.5768938686585745,0.5719063545150501,-0.004987514143524385,45,42,347
2,False,BRCA|OV,0.64262515646281,0.6382241419641934,-0.004401014498616629,12,16,147
2,False,BRCA|PRAD,0.5755530767800706,0.5804990861504048,0.004946009370334181,7,8,73
2,False,BRCA|SARC,0.45679792306249567,0.4622772114276863,0.0054792883651906266,6,7,101
2,False,BRCA|KIPAN,0.6587700601805416,0.6566915614268827,-0.0020784987536589528,4,6,64
2,False,PCPG|PRAD,0.49654874892148404,0.48575007829627315,-0.010798670625210893,7,9,127
2,False,BRCA|PCPG,0.5942429979127226,0.5618935221610281,-0.032349475751694556,4,13,95
3,True,GBMLGG|LGG,0.558789697424356,0.587147766323024,0.028358068898667987,45,29,364
3,False,KIPAN|KIRC,0.5836399711399711,0.582128436374187,-0.0015115347657841394,37,37,511
3,False,BRCA|OV,0.6016806722689076,0.5930067001675042,-0.008673972101403415,15,25,172
3,False,BRCA|PRAD,0.5905727713231315,0.5888523253792715,-0.001720445943860005,5,8,93
3,False,BRCA|KIPAN,0.6698534798534799,0.6647924297924298,-0.005061050061050065,1,5,55
3,False,BRCA|SARC,0.5012413108242304,0.4999954009032626,-0.0012459099209677915,4,7,93
3,True,LUAD|LUSC,0.5336203597397627,0.5573972810814917,0.02377692134172893,16,12,124
3,False,BRCA|CESC,0.5571863953593764,0.5695695695695695,0.012383174210193082,8,6,78
4,True,KIPAN|KIRC,0.5173530927053975,0.5179112023438974,0.0005581096384998929,31,30,472
4,False,GBMLGG|LGG,0.5447933502655276,0.5318302387267904,-0.012963111538737193,45,48,374
4,False,BRCA|OV,0.6029433068316419,0.5882833081894125,-0.014659998642229333,14,23,180
4,False,BRCA|PRAD,0.5618915662650603,0.5512905775166634,-0.010600988748396878,6,13,117
4,False,BRCA|KIPAN,0.6165760419056486,0.6154453748887149,-0.0011306670169337618,2,3,50
4,False,BRCA|SARC,0.4917713865082286,0.4891667640528222,-0.00260462245540638,3,7,85
4,False,HNSC|STES,0.5458979398704229,0.5394996366656286,-0.006398303204794287,8,12,103
4,True,LUAD|LUSC,0.5943627450980392,0.6053481854370838,0.010985440339044583,18,17,138
5,True,KIPAN|KIRC,0.5883491297403793,0.6009331902131385,0.012584060472759173,35,28,548
5,True,GBMLGG|LGG,0.5798160173160174,0.5930580305944211,0.013242013278403686,59,47,374
5,False,BRCA|OV,0.6137750553590429,0.5936091490077363,-0.02016590635130655,10,24,186
5,False,BRCA|PRAD,0.5481512779964643,0.5578437019969278,0.00969242400046344,15,16,141
5,False,BRCA|KIPAN,0.6607165959182555,0.6549625923047027,-0.005754003613552827,2,7,60
5,False,BRCA|SARC,0.47232835820895525,0.4721012925856518,-0.00022706562330343516,3,8,78
5,False,LUAD|LUSC,0.532046332046332,0.5161939134194252,-0.015852418626906783,10,14,132
5,False,PCPG|PRAD,0.4502508361204013,0.45903010033444813,0.008779264214046845,8,6,123
