variant,oof_macro_f1,oof_accuracy,feature_count,convergence_warning_count,leakage_check,nan_as_mutation_count,delta_vs_h0
H0,0.5447438599818917,0.5555555555555556,8193.2,0,True,0,0.0
multinomial_LR,0.5259096721951139,0.5295920012901145,8193.2,0,True,0,-0.018834187786777812
OVR_LR,0.5245005693069025,0.5357200451540074,8193.2,0,True,0,-0.0202432906749892
base_LGBM,0.47740740457643766,0.5039509756490889,8193.2,0,True,0,-0.06733645540545402
safe_3way,0.5374922477078703,0.545879696823093,8193.2,0,True,0,-0.0072516122740213795
