seed,oof_macro_f1,oof_accuracy,leakage_check,nan_as_mutation_count,test_read
42,0.5433020574669001,0.5592646347363328,True,0,False
777,0.5345657434564388,0.5534591194968553,True,0,False
2024,0.5406079691390826,0.5566844057410095,True,0,False
