seed,variant,class,f1,support
777,ComplementNB_profile,GBMLGG,0.2332155477031802,461
777,ComplementNB_profile,HNSC,0.15126050420168066,223
777,ComplementNB_profile,KIPAN,0.1262683201803833,515
777,ComplementNB_profile,KIRC,0.07082630691399663,334
777,ComplementNB_profile,LAML,0.5276595744680851,158
777,ComplementNB_profile,LGG,0.08585858585858586,229
777,ComplementNB_profile,LIHC,0.0660377358490566,158
777,ComplementNB_profile,LUAD,0.08875739644970414,184
777,ComplementNB_profile,LUSC,0.0881542699724518,178
777,ComplementNB_profile,OV,0.06060606060606061,253
777,ComplementNB_profile,PAAD,0.024539877300613498,120
777,ComplementNB_profile,PCPG,0.09523809523809523,147
777,ComplementNB_profile,PRAD,0.10101010101010101,266
777,ComplementNB_profile,SARC,0.00909090909090909,198
777,ComplementNB_profile,SKCM,0.33957033957033955,276
777,ComplementNB_profile,STES,0.24763542562338778,379
777,ComplementNB_profile,TGCT,0.1267605633802817,124
777,ComplementNB_profile,THCA,0.6031746031746031,324
777,ComplementNB_profile,THYM,0.0,98
777,ComplementNB_profile,UCEC,0.2440087145969499,198
777,H0_075_ComplementNB_025,ACC,0.8955223880597015,72
777,H0_075_ComplementNB_025,BLCA,0.47619047619047616,104
777,H0_075_ComplementNB_025,BRCA,0.5433021806853583,786
777,H0_075_ComplementNB_025,CESC,0.40875912408759124,155
777,H0_075_ComplementNB_025,COAD,0.7534883720930232,223
777,H0_075_ComplementNB_025,DLBC,0.5,38
777,H0_075_ComplementNB_025,GBMLGG,0.5566037735849056,461
777,H0_075_ComplementNB_025,HNSC,0.40487804878048783,223
777,H0_075_ComplementNB_025,KIPAN,0.5881168177240684,515
777,H0_075_ComplementNB_025,KIRC,0.6440217391304348,334
777,H0_075_ComplementNB_025,LAML,0.5808580858085809,158
777,H0_075_ComplementNB_025,LGG,0.6418786692759295,229
777,H0_075_ComplementNB_025,LIHC,0.4300341296928328,158
777,H0_075_ComplementNB_025,LUAD,0.4025974025974026,184
777,H0_075_ComplementNB_025,LUSC,0.5786802030456852,178
777,H0_075_ComplementNB_025,OV,0.45936395759717313,253
777,H0_075_ComplementNB_025,PAAD,0.3949579831932773,120
777,H0_075_ComplementNB_025,PCPG,0.3532608695652174,147
777,H0_075_ComplementNB_025,PRAD,0.35,266
777,H0_075_ComplementNB_025,SARC,0.21635883905013192,198
777,H0_075_ComplementNB_025,SKCM,0.8829174664107485,276
777,H0_075_ComplementNB_025,STES,0.5826193390452876,379
777,H0_075_ComplementNB_025,TGCT,0.6428571428571429,124
777,H0_075_ComplementNB_025,THCA,0.6912280701754386,324
777,H0_075_ComplementNB_025,THYM,0.31020408163265306,98
777,H0_075_ComplementNB_025,UCEC,0.6736292428198434,198
2024,H0,ACC,0.8759124087591241,72
2024,H0,BLCA,0.5116279069767442,104
2024,H0,BRCA,0.5504358655043586,786
2024,H0,CESC,0.46037735849056605,155
2024,H0,COAD,0.7752293577981652,223
2024,H0,DLBC,0.45614035087719296,38
2024,H0,GBMLGG,0.5508982035928144,461
2024,H0,HNSC,0.42452830188679247,223
2024,H0,KIPAN,0.6014418125643667,515
2024,H0,KIRC,0.6657496561210454,334
2024,H0,LAML,0.5324675324675324,158
2024,H0,LGG,0.6553030303030303,229
2024,H0,LIHC,0.4527027027027027,158
2024,H0,LUAD,0.43729903536977494,184
2024,H0,LUSC,0.5459183673469388,178
2024,H0,OV,0.4645390070921986,253
2024,H0,PAAD,0.4583333333333333,120
2024,H0,PCPG,0.36312849162011174,147
2024,H0,PRAD,0.3694915254237288,266
2024,H0,SARC,0.24257425742574257,198
2024,H0,SKCM,0.888030888030888,276
2024,H0,STES,0.5668316831683168,379
2024,H0,TGCT,0.6585365853658537,124
2024,H0,THCA,0.6888111888111889,324
2024,H0,THYM,0.32,98
2024,H0,UCEC,0.6356589147286822,198
2024,ComplementNB_profile,ACC,0.45614035087719296,72
2024,ComplementNB_profile,BLCA,0.19753086419753085,104
2024,ComplementNB_profile,BRCA,0.4548238897396631,786
2024,ComplementNB_profile,CESC,0.02643171806167401,155
2024,ComplementNB_profile,COAD,0.47333333333333333,223
2024,ComplementNB_profile,DLBC,0.41379310344827586,38
2024,ComplementNB_profile,GBMLGG,0.26528258362168394,461
2024,ComplementNB_profile,HNSC,0.12921348314606743,223
