variant,seed_count,oof_macro_f1,oof_accuracy,prediction_disagreement_vs_seed42,delta_vs_seed42
seed_42,1,0.5479146612629726,0.5589421061119174,0.0,0.0
seed_777,1,0.5432465017142196,0.5553942912433478,0.2391549750040316,-0.0046681595487529925
seed_2024,1,0.5506054738413716,0.5608772778584099,0.23834865344299305,0.0026908125783989822
bagged_42_777_2024,3,0.5647969725230712,0.5747460087082729,0.13594581519109822,0.016882311260098537
