seed,fold,variant,macro_f1,accuracy,feature_count,delta_vs_h0
42,1,H0,0.5363060943550256,0.547945205479452,8152,0.0
42,1,ComplementNB_profile,0.19455452573323426,0.23609991941982272,13967,-0.34175156862179135
42,1,H0_075_ComplementNB_025,0.5354051627757288,0.5447219983883964,13967,-0.0009009315792968264
42,2,H0,0.5553139557036014,0.5645161290322581,8195,0.0
42,2,ComplementNB_profile,0.21127551490767343,0.2524193548387097,13937,-0.344038440795928
42,2,H0_075_ComplementNB_025,0.5488946959717613,0.5620967741935484,13937,-0.006419259731840099
42,3,H0,0.5319122347730254,0.5419354838709678,8161,0.0
42,3,ComplementNB_profile,0.21953879879033417,0.2693548387096774,13884,-0.31237343598269124
42,3,H0_075_ComplementNB_025,0.5282798495167822,0.5387096774193548,13884,-0.003632385256243209
42,4,H0,0.5457953656186075,0.5596774193548387,8241,0.0
42,4,ComplementNB_profile,0.20465387414672018,0.25887096774193546,14087,-0.3411414914718873
42,4,H0_075_ComplementNB_025,0.5428487038925355,0.5604838709677419,14087,-0.002946661726072053
42,5,H0,0.5492294864782734,0.5637096774193548,8217,0.0
42,5,ComplementNB_profile,0.19479410445651135,0.24193548387096775,13967,-0.35443538202176206
42,5,H0_075_ComplementNB_025,0.5462563192898412,0.5612903225806452,13967,-0.002973167188432213
777,1,H0,0.5493671141810315,0.5584206285253828,8223,0.0
777,1,ComplementNB_profile,0.19598202864516068,0.24818694601128122,14026,-0.3533850855358708
777,1,H0_075_ComplementNB_025,0.5491554449919402,0.556809024979855,14026,-0.00021166918909121257
777,2,H0,0.4940576151049469,0.5290322580645161,8168,0.0
777,2,ComplementNB_profile,0.21102009883369,0.25967741935483873,13899,-0.2830375162712569
777,2,H0_075_ComplementNB_025,0.48989713425121856,0.5274193548387097,13899,-0.004160480853728332
777,3,H0,0.5513872259066684,0.5637096774193548,8224,0.0
777,3,ComplementNB_profile,0.19962231394275615,0.23870967741935484,14078,-0.3517649119639123
777,3,H0_075_ComplementNB_025,0.549614118086729,0.5596774193548387,14078,-0.0017731078199394457
777,4,H0,0.5480872679958364,0.5564516129032258,8170,0.0
777,4,ComplementNB_profile,0.20799564202146792,0.25725806451612904,13940,-0.3400916259743685
777,4,H0_075_ComplementNB_025,0.543123047662255,0.5516129032258065,13940,-0.004964220333581348
777,5,H0,0.5401769363155237,0.5508064516129032,8157,0.0
777,5,ComplementNB_profile,0.20958339067382395,0.25967741935483873,13907,-0.33059354564169974
777,5,H0_075_ComplementNB_025,0.5427827855755922,0.5524193548387096,13907,0.002605849260068571
2024,1,H0,0.514097405191915,0.5447219983883964,8195,0.0
2024,1,ComplementNB_profile,0.19278588229668966,0.24496373892022563,14026,-0.32131152289522535
2024,1,H0_075_ComplementNB_025,0.5231665798951434,0.5463336019339242,14026,0.009069174703228322
2024,2,H0,0.5311357901009897,0.5419354838709678,8181,0.0
2024,2,ComplementNB_profile,0.22419236565011855,0.25483870967741934,13964,-0.3069434244508711
2024,2,H0_075_ComplementNB_025,0.5335966013012746,0.542741935483871,13964,0.0024608112002849625
2024,3,H0,0.5652908345238549,0.5588709677419355,8168,0.0
2024,3,ComplementNB_profile,0.20927749417700647,0.2540322580645161,13888,-0.3560133403468484
2024,3,H0_075_ComplementNB_025,0.5723716233244734,0.5629032258064516,13888,0.007080788800618576
2024,4,H0,0.5535007395660005,0.567741935483871,8200,0.0
2024,4,ComplementNB_profile,0.22365193334673247,0.27580645161290324,13928,-0.32984880621926804
2024,4,H0_075_ComplementNB_025,0.5552355205336025,0.5693548387096774,13928,0.0017347809676019343
2024,5,H0,0.5475376264671392,0.567741935483871,8221,0.0
2024,5,ComplementNB_profile,0.1933630218555795,0.25483870967741934,14056,-0.3541746046115597
2024,5,H0_075_ComplementNB_025,0.545608306981794,0.5645161290322581,14056,-0.0019293194853452489
