seed,fold,variant,macro_f1,accuracy,feature_count
42,1,H0,0.5363060943550256,0.547945205479452,8152
42,1,H0_EB_LR,0.5175886234792622,0.5414987912973409,8178
42,1,H0_selective_EB,0.528516470887176,0.5439161966156325,8178
42,2,H0,0.5553139557036014,0.5645161290322581,8195
42,2,H0_EB_LR,0.5464652399670417,0.5637096774193548,8221
42,2,H0_selective_EB,0.5518911944485894,0.5661290322580645,8221
42,3,H0,0.5319122347730254,0.5419354838709678,8161
42,3,H0_EB_LR,0.5417699979554113,0.5483870967741935,8187
42,3,H0_selective_EB,0.5434490629256266,0.5475806451612903,8187
42,4,H0,0.5457953656186075,0.5596774193548387,8241
42,4,H0_EB_LR,0.5572232617246509,0.5725806451612904,8267
42,4,H0_selective_EB,0.5547587960574124,0.5693548387096774,8267
42,5,H0,0.5492294864782734,0.5637096774193548,8217
42,5,H0_EB_LR,0.557023611042091,0.5645161290322581,8243
42,5,H0_selective_EB,0.5584993408995549,0.567741935483871,8243
777,1,H0,0.5493671141810315,0.5584206285253828,8223
777,1,H0_EB_LR,0.5520015800250352,0.5656728444802579,8249
777,1,H0_selective_EB,0.553065295946923,0.5632554391619662,8249
777,2,H0,0.4940576151049469,0.5290322580645161,8168
777,2,H0_EB_LR,0.514328825381221,0.5403225806451613,8194
777,2,H0_selective_EB,0.5142909851951584,0.5370967741935484,8194
777,3,H0,0.5513872259066684,0.5637096774193548,8224
777,3,H0_EB_LR,0.5546740808485178,0.5653225806451613,8250
777,3,H0_selective_EB,0.5577833884687313,0.5653225806451613,8250
777,4,H0,0.5480872679958364,0.5564516129032258,8170
777,4,H0_EB_LR,0.5422352627518222,0.5524193548387096,8196
777,4,H0_selective_EB,0.5420945733421899,0.5516129032258065,8196
777,5,H0,0.5401769363155237,0.5508064516129032,8157
777,5,H0_EB_LR,0.5392424494819842,0.5604838709677419,8183
777,5,H0_selective_EB,0.5415197366983542,0.5596774193548387,8183
2024,1,H0,0.514097405191915,0.5447219983883964,8195
2024,1,H0_EB_LR,0.5345022498448861,0.5551974214343272,8221
2024,1,H0_selective_EB,0.5265301744115838,0.5519742143432715,8221
2024,2,H0,0.5311357901009897,0.5419354838709678,8181
2024,2,H0_EB_LR,0.5421801112182905,0.5508064516129032,8207
2024,2,H0_selective_EB,0.5409399242649507,0.55,8207
2024,3,H0,0.5652908345238549,0.5588709677419355,8168
2024,3,H0_EB_LR,0.570328538356329,0.5612903225806452,8194
2024,3,H0_selective_EB,0.5695693211058087,0.5612903225806452,8194
2024,4,H0,0.5535007395660005,0.567741935483871,8200
2024,4,H0_EB_LR,0.5587175675501299,0.5709677419354838,8226
2024,4,H0_selective_EB,0.55431988608319,0.567741935483871,8226
2024,5,H0,0.5475376264671392,0.567741935483871,8221
2024,5,H0_EB_LR,0.5556112513674931,0.575,8247
2024,5,H0_selective_EB,0.5537617434266222,0.5733870967741935,8247
