seed,variant,class,precision,recall,f1,support
42,H0,ACC,0.9516129032258065,0.8194444444444444,0.8805970149253731,72
42,H0,BLCA,0.625,0.38461538461538464,0.47619047619047616,104
42,H0,BRCA,0.5361963190184049,0.5559796437659033,0.5459088069956277,786
42,H0,CESC,0.44,0.3548387096774194,0.39285714285714285,155
42,H0,COAD,0.7952380952380952,0.7488789237668162,0.7713625866050808,223
42,H0,DLBC,0.7894736842105263,0.39473684210526316,0.5263157894736842,38
42,H0,GBMLGG,0.6308900523560209,0.5227765726681128,0.571767497034401,461
42,H0,HNSC,0.417910447761194,0.37668161434977576,0.39622641509433965,223
42,H0,KIPAN,0.6313559322033898,0.5786407766990291,0.6038500506585613,515
42,H0,KIRC,0.62,0.7425149700598802,0.6757493188010899,334
42,H0,LAML,0.6086956521739131,0.5316455696202531,0.5675675675675675,158
42,H0,LGG,0.5857142857142857,0.7161572052401747,0.6444007858546169,229
42,H0,LIHC,0.5149253731343284,0.43670886075949367,0.4726027397260274,158
42,H0,LUAD,0.5081967213114754,0.33695652173913043,0.40522875816993464,184
42,H0,LUSC,0.5176991150442478,0.6573033707865169,0.5792079207920792,178
42,H0,OV,0.3957703927492447,0.5177865612648221,0.4486301369863014,253
42,H0,PAAD,0.4722222222222222,0.425,0.4473684210526316,120
42,H0,PCPG,0.29596412556053814,0.4489795918367347,0.3567567567567568,147
42,H0,PRAD,0.3469387755102041,0.4473684210526316,0.39080459770114945,266
42,H0,SARC,0.2275132275132275,0.21717171717171718,0.2222222222222222,198
42,H0,SKCM,0.9623430962343096,0.8333333333333334,0.8932038834951457,276
42,H0,STES,0.5357142857142857,0.5936675461741425,0.5632040050062578,379
42,H0,TGCT,0.7,0.6774193548387096,0.6885245901639344,124
42,H0,THCA,0.8008130081300813,0.6080246913580247,0.6912280701754386,324
42,H0,THYM,0.2422360248447205,0.3979591836734694,0.30115830115830117,98
42,H0,UCEC,0.7017543859649122,0.6060606060606061,0.6504065040650406,198
42,H0_selective_EB,ACC,0.967741935483871,0.8333333333333334,0.8955223880597015,72
42,H0_selective_EB,BLCA,0.573170731707317,0.4519230769230769,0.5053763440860215,104
42,H0_selective_EB,BRCA,0.5481852315394243,0.5572519083969466,0.5526813880126183,786
42,H0_selective_EB,CESC,0.4608695652173913,0.3419354838709677,0.3925925925925926,155
42,H0_selective_EB,COAD,0.780373831775701,0.7488789237668162,0.7643020594965675,223
42,H0_selective_EB,DLBC,0.7727272727272727,0.4473684210526316,0.5666666666666667,38
42,H0_selective_EB,GBMLGG,0.6370558375634517,0.544468546637744,0.5871345029239766,461
42,H0_selective_EB,HNSC,0.42408376963350786,0.3632286995515695,0.391304347826087,223
42,H0_selective_EB,KIPAN,0.6592427616926503,0.574757281553398,0.6141078838174274,515
42,H0_selective_EB,KIRC,0.6246913580246913,0.7574850299401198,0.6847090663058186,334
42,H0_selective_EB,LAML,0.6099290780141844,0.5443037974683544,0.5752508361204013,158
42,H0_selective_EB,LGG,0.6136363636363636,0.7074235807860262,0.6572008113590264,229
42,H0_selective_EB,LIHC,0.46153846153846156,0.45569620253164556,0.4585987261146497,158
42,H0_selective_EB,LUAD,0.5,0.30978260869565216,0.3825503355704698,184
42,H0_selective_EB,LUSC,0.5130434782608696,0.6629213483146067,0.5784313725490197,178
42,H0_selective_EB,OV,0.39634146341463417,0.5138339920948617,0.4475043029259897,253
42,H0_selective_EB,PAAD,0.4528301886792453,0.4,0.4247787610619469,120
42,H0_selective_EB,PCPG,0.3031674208144796,0.4557823129251701,0.3641304347826087,147
42,H0_selective_EB,PRAD,0.35260115606936415,0.45864661654135336,0.39869281045751637,266
42,H0_selective_EB,SARC,0.225130890052356,0.21717171717171718,0.2210796915167095,198
42,H0_selective_EB,SKCM,0.9623430962343096,0.8333333333333334,0.8932038834951457,276
42,H0_selective_EB,STES,0.5342789598108747,0.5963060686015831,0.5635910224438903,379
42,H0_selective_EB,TGCT,0.6796875,0.7016129032258065,0.6904761904761905,124
42,H0_selective_EB,THCA,0.8049792531120332,0.5987654320987654,0.6867256637168142,324
42,H0_selective_EB,THYM,0.2289156626506024,0.3877551020408163,0.2878787878787879,98
42,H0_selective_EB,UCEC,0.7068965517241379,0.6212121212121212,0.6612903225806451,198
777,H0,ACC,0.9682539682539683,0.8472222222222222,0.9037037037037037,72
777,H0,BLCA,0.5909090909090909,0.375,0.4588235294117647,104
777,H0,BRCA,0.5330882352941176,0.5534351145038168,0.5430711610486891,786
777,H0,CESC,0.475,0.36774193548387096,0.41454545454545455,155
777,H0,COAD,0.7894736842105263,0.7399103139013453,0.7638888888888888,223
777,H0,DLBC,0.7777777777777778,0.3684210526315789,0.5,38
777,H0,GBMLGG,0.6201550387596899,0.5206073752711496,0.5660377358490566,461
777,H0,HNSC,0.45108695652173914,0.3721973094170404,0.40786240786240785,223
777,H0,KIPAN,0.6137787056367432,0.570873786407767,0.5915492957746479,515
777,H0,KIRC,0.5945945945945946,0.7245508982035929,0.6531713900134952,334
777,H0,LAML,0.6111111111111112,0.5569620253164557,0.5827814569536424,158
777,H0,LGG,0.5957446808510638,0.7336244541484717,0.6575342465753424,229
777,H0,LIHC,0.45652173913043476,0.3987341772151899,0.42567567567567566,158
777,H0,LUAD,0.5039370078740157,0.34782608695652173,0.4115755627009646,184
777,H0,LUSC,0.5296803652968036,0.651685393258427,0.5843828715365239,178
777,H0,OV,0.4126984126984127,0.5138339920948617,0.45774647887323944,253
777,H0,PAAD,0.3949579831932773,0.39166666666666666,0.39330543933054396,120
777,H0,PCPG,0.2972972972972973,0.4489795918367347,0.35772357723577236,147
777,H0,PRAD,0.31343283582089554,0.39473684210526316,0.34941763727121466,266
777,H0,SARC,0.23076923076923078,0.21212121212121213,0.22105263157894736,198
777,H0,SKCM,0.9541666666666667,0.8297101449275363,0.8875968992248062,276
777,H0,STES,0.5467289719626168,0.6174142480211082,0.5799256505576208,379
777,H0,TGCT,0.6328125,0.6532258064516129,0.6428571428571429,124
777,H0,THCA,0.8008130081300813,0.6080246913580247,0.6912280701754386,324
777,H0,THYM,0.2585034013605442,0.3877551020408163,0.31020408163265306,98
777,H0,UCEC,0.6833333333333333,0.6212121212121212,0.6507936507936508,198
777,H0_selective_EB,ACC,0.953125,0.8472222222222222,0.8970588235294118,72
777,H0_selective_EB,BLCA,0.5333333333333333,0.46153846153846156,0.4948453608247423,104
777,H0_selective_EB,BRCA,0.5482233502538071,0.549618320610687,0.5489199491740788,786
777,H0_selective_EB,CESC,0.4700854700854701,0.3548387096774194,0.40441176470588236,155
777,H0_selective_EB,COAD,0.7813953488372093,0.7533632286995515,0.7671232876712328,223
777,H0_selective_EB,DLBC,0.75,0.47368421052631576,0.5806451612903226,38
777,H0_selective_EB,GBMLGG,0.6377551020408163,0.5422993492407809,0.5861664712778429,461
777,H0_selective_EB,HNSC,0.4367816091954023,0.34080717488789236,0.38287153652392947,223
777,H0_selective_EB,KIPAN,0.645021645021645,0.5786407766990291,0.6100307062436029,515
