seed,fold,variant,macro_f1,accuracy,feature_count,delta_vs_h0
42,1,H0,0.5363060943550256,0.547945205479452,8152,0.0
42,1,XGB_structured,0.45931080639492455,0.5012087026591459,8152,-0.07699528796010108
42,1,H0_080_XGB_020,0.5321154728865725,0.5463336019339242,8152,-0.004190621468453171
42,2,H0,0.5553139557036014,0.5645161290322581,8195,0.0
42,2,XGB_structured,0.4888106185860036,0.5266129032258065,8195,-0.06650333711759782
42,2,H0_080_XGB_020,0.551559136285846,0.5629032258064516,8195,-0.0037548194177554617
42,3,H0,0.5319122347730254,0.5419354838709678,8161,0.0
42,3,XGB_structured,0.4833381548413967,0.5306451612903226,8161,-0.04857407993162871
42,3,H0_080_XGB_020,0.5349450120473176,0.5475806451612903,8161,0.0030327772742921866
42,4,H0,0.5457953656186075,0.5596774193548387,8241,0.0
42,4,XGB_structured,0.4914004901833582,0.5282258064516129,8241,-0.054394875435249346
42,4,H0_080_XGB_020,0.5462898001279629,0.5629032258064516,8241,0.0004944345093553792
42,5,H0,0.5492294864782734,0.5637096774193548,8217,0.0
42,5,XGB_structured,0.4849492871448363,0.5274193548387097,8217,-0.0642801993334371
42,5,H0_080_XGB_020,0.5520355665689589,0.5645161290322581,8217,0.0028060800906855032
