variant,class,precision,recall,f1,support
seed_42,ACC,0.967741935483871,0.8333333333333334,0.8955223880597015,72
seed_42,BLCA,0.573170731707317,0.4519230769230769,0.5053763440860215,104
seed_42,BRCA,0.5481852315394243,0.5572519083969466,0.5526813880126183,786
seed_42,CESC,0.4608695652173913,0.3419354838709677,0.3925925925925926,155
seed_42,COAD,0.780373831775701,0.7488789237668162,0.7643020594965675,223
seed_42,DLBC,0.7727272727272727,0.4473684210526316,0.5666666666666667,38
seed_42,GBMLGG,0.6370558375634517,0.544468546637744,0.5871345029239766,461
seed_42,HNSC,0.42408376963350786,0.3632286995515695,0.391304347826087,223
seed_42,KIPAN,0.6592427616926503,0.574757281553398,0.6141078838174274,515
seed_42,KIRC,0.6246913580246913,0.7574850299401198,0.6847090663058186,334
seed_42,LAML,0.6099290780141844,0.5443037974683544,0.5752508361204013,158
seed_42,LGG,0.6136363636363636,0.7074235807860262,0.6572008113590264,229
seed_42,LIHC,0.46153846153846156,0.45569620253164556,0.4585987261146497,158
seed_42,LUAD,0.5,0.30978260869565216,0.3825503355704698,184
seed_42,LUSC,0.5130434782608696,0.6629213483146067,0.5784313725490197,178
seed_42,OV,0.39634146341463417,0.5138339920948617,0.4475043029259897,253
seed_42,PAAD,0.4528301886792453,0.4,0.4247787610619469,120
seed_42,PCPG,0.3031674208144796,0.4557823129251701,0.3641304347826087,147
seed_42,PRAD,0.35260115606936415,0.45864661654135336,0.39869281045751637,266
seed_42,SARC,0.225130890052356,0.21717171717171718,0.2210796915167095,198
seed_42,SKCM,0.9623430962343096,0.8333333333333334,0.8932038834951457,276
seed_42,STES,0.5342789598108747,0.5963060686015831,0.5635910224438903,379
seed_42,TGCT,0.6796875,0.7016129032258065,0.6904761904761905,124
seed_42,THCA,0.8049792531120332,0.5987654320987654,0.6867256637168142,324
seed_42,THYM,0.2289156626506024,0.3877551020408163,0.2878787878787879,98
seed_42,UCEC,0.7068965517241379,0.6212121212121212,0.6612903225806451,198
seed_777,ACC,0.953125,0.8472222222222222,0.8970588235294118,72
seed_777,BLCA,0.5333333333333333,0.46153846153846156,0.4948453608247423,104
seed_777,BRCA,0.5482233502538071,0.549618320610687,0.5489199491740788,786
seed_777,CESC,0.4700854700854701,0.3548387096774194,0.40441176470588236,155
seed_777,COAD,0.7813953488372093,0.7533632286995515,0.7671232876712328,223
seed_777,DLBC,0.75,0.47368421052631576,0.5806451612903226,38
seed_777,GBMLGG,0.6377551020408163,0.5422993492407809,0.5861664712778429,461
seed_777,HNSC,0.4367816091954023,0.34080717488789236,0.38287153652392947,223
seed_777,KIPAN,0.645021645021645,0.5786407766990291,0.6100307062436029,515
