variant,seed_count,oof_macro_f1_mean,oof_macro_f1_std,delta_vs_h0_mean,delta_vs_h0_std,feature_count_mean,leakage_check,nan_as_mutation_count
ComplementNB_profile,3,0.20684854850649573,0.0023179196524178453,-0.33573815361352555,0.003473740814365839,13970.266666666668,True,0
H0,3,0.5425867021200214,0.003364616564624108,0.0,0.0,8191.533333333333,True,0
H0_075_ComplementNB_025,3,0.5421504074157372,0.005719545094696815,-0.00043629470428419026,0.003965826215088018,13970.266666666668,True,0
