seed,variant,oof_macro_f1,oof_accuracy,feature_count_mean,convergence_warning_count,leakage_check,nan_as_mutation_count,runtime_seconds,delta_vs_h0
42,H0,0.5447438599818917,0.5555555555555556,8193.2,0,True,0,968.4929094160325,0.0
42,ComplementNB_profile,0.20516348874114138,0.25173359135623286,13968.4,0,True,0,968.5172382500023,-0.3395803712407503
42,H0_075_ComplementNB_025,0.5411254627174001,0.5534591194968553,13968.4,0,True,0,968.542292625003,-0.003618397264491535
777,H0,0.5387097938488956,0.5516852120625706,8188.4,0,True,0,966.3449384170235,0.0
777,ComplementNB_profile,0.2058901947989726,0.2527011772294791,13970.0,0,True,0,966.3689191670273,-0.332819599049923
777,H0_075_ComplementNB_025,0.537012630888592,0.5495887760038703,13970.0,0,True,0,966.3931689580204,-0.0016971629603036442
2024,H0,0.5443064525292767,0.5562006128043864,8193.0,0,True,0,993.37895879196,0.0
2024,ComplementNB_profile,0.20949196197937323,0.25689404934687954,13972.4,0,True,0,993.4032402919838,-0.3348144905499034
2024,H0_075_ComplementNB_025,0.5483131286412193,0.5571681986776327,13972.4,0,True,0,993.4274008329958,0.004006676111942609
